Key,Defunct,Latitude,Longitude,Fullname,Region,Spring,SummerUnit,Fall,Notes
Argentia,true,47.30611111,-53.99,Argentia Cadet Flying Site,Atlantic,,,,
Atlantic Ops,false,45.41861111,-63.46055556,Atlantic Region Air Ops,Atlantic,TRUE,TRUE,TRUE,
Clarenville CFS,false,48.27,-53.91,Clarenville Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
CQ3,true,45.41861111,-63.46055556,Debert Gliding Centre,Atlantic,,FALSE,,
Debert CFS,false,45.41861111,-63.46055556,Debert Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
Debert CFTC,false,45.41861111,-63.46055556,Debert Cadet Flight Training Centre,Atlantic,TRUE,TRUE,TRUE,
Gander CFS,false,48.93694444,-54.56805556,Gander Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
Greenwood CFS,false,44.98444444,-64.91694444,Greenwood Cadet Flying Site,Atlantic,TRUE,TRUE,TRUE,
Miramichi CFS,false,47.00777778,-65.44916667,Miramichi Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
RGS (A),true,45.41861111,-63.46055556,Region Gliding School Atlantic,Atlantic,,TRUE,,
Stephenville CFS,false,48.54138889,-58.55,Stephenville Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
Summerside CFS,false,46.44055556,-63.83361111,Summerside Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
Sydney CFS,false,46.16138889,-60.04805556,Sydney Cadet Flying Site,Atlantic,TRUE,FALSE,TRUE,
YAR,true,47.30611111,-53.99,Argentia Gliding Centre,Atlantic,,,,
YCH,true,47.00777778,-65.44916667,Miramichi Gliding Centre,Atlantic,,,,
YJT,true,48.54138889,-58.55,Stephenville Gliding Centre,Atlantic,,,,
YQX,true,48.93694444,-54.56805556,Gander Gliding Centre,Atlantic,,,,
YQY,true,46.16138889,-60.04805556,Sydney Gliding Centre,Atlantic,,,,
YSU,true,46.44055556,-63.83361111,Summerside Gliding Centre,Atlantic,,,,
